# DExtra_Hosts.txt downloaded from http://www.pistar.uk/downloads/DExtra_Hosts.txt
# DExtra Hosts resolved from the XReflector Directory (http://xrefl.net),
# additional host information sourced from http://xlxapi.rlx.lu/api.php?do=GetReflectorHostname
# Please report issues at https://www.facebook.com/groups/pistar/
# File created at Tuesday 10th of July 2018 08:13:01 PM BST
XRF000	23.111.174.198
XRF001	77.57.24.143
XRF002	52.36.45.107
XRF003	173.199.124.183
XRF004	44.103.34.3
XRF005	216.16.240.236
XRF006	45.76.1.189
XRF007	82.223.18.138
XRF008	45.77.153.132
XRF009	118.150.164.96
XRF010	xlx010.n8qq.com
XRF011	xlx011.warn.org
XRF012	67.207.216.61
XRF013	34.213.176.201
XRF014	94.23.8.59
XRF015	xrf015.theapplecore.me
XRF016	44.143.40.30
XRF017	92.177.212.64
XRF018	199.167.129.166
XRF019	31.7.247.58
XRF020	94.177.164.25
XRF021	44.103.32.250
XRF022	83.137.45.116
XRF023	185.177.59.166
XRF024	194.208.144.167
XRF025	025.ham-digital.es
XRF026	65.175.188.230
XRF027	194.116.29.78
XRF028	193.190.240.228
XRF029	xrf029.tms-it.net
XRF030	193.170.118.253
XRF031	xlx031.ddns.net
XRF032	158.64.26.140
XRF033	46.226.178.81
XRF034	91.92.136.68
XRF035	45.79.94.184
XRF036	151.12.36.112
XRF037	185.58.193.163
XRF038	66.6.171.228
XRF039	31.14.142.119
XRF040	109.71.45.29
XRF041	45.62.226.137
XRF042	44.168.53.137
XRF043	xrf043.aotnet.it
XRF044	82.1.185.173
XRF045	xlx045.kc1amf.org
XRF046	212.91.156.69
XRF047	121.94.194.251
XRF048	64.39.69.11
XRF049	212.71.234.224
XRF050	213.186.33.5
XRF051	93.186.254.219
XRF052	121.119.96.205
XRF053	91.214.62.136
XRF054	52.86.180.251
XRF055	52.80.4.154
XRF056	80.116.203.88
XRF057	173.216.181.178
XRF058	115.162.207.228
XRF059	18.219.32.21
XRF060	212.237.36.181
XRF061	68.115.205.110
XRF062	70.88.145.163
XRF063	162.248.141.148
XRF064	122.222.1.50
XRF066	80.116.203.88
XRF067	xrf067.f5kav.org
XRF068	92.222.145.202
XRF069	185.47.129.230
XRF070	112.218.40.93
XRF071	211.60.41.185
XRF073	147.102.7.34
XRF074	64.137.207.9
XRF075	5.135.162.136
XRF076	203.137.116.117
XRF077	5.249.151.111
XRF078	91.214.62.136
XRF079	59.6.196.35
XRF080	121.86.66.52
XRF081	121.86.66.52
XRF085	27.92.11.123
XRF086	52.80.139.252
XRF088	194.109.192.235
XRF089	194.109.192.236
XRF090	91.92.136.252
XRF091	5.196.3.184
XRF092	212.237.30.36
XRF095	121.93.109.13
XRF098	111.169.16.250
XRF099	80.211.27.75
XRF100	96.94.7.196
XRF101	45.62.213.101
XRF102	23.111.174.196
XRF103	64.137.224.126
XRF104	23.111.174.197
XRF105	51.254.99.78
XRF109	182.168.101.180
XRF110	150.7.164.10
XRF111	61.195.96.160
XRF112	80.211.236.189
XRF113	212.227.202.198
XRF114	5.135.188.16
XRF115	217.182.128.3
XRF116	31.185.101.211
XRF118	5.249.148.252
XRF119	125.129.207.86
XRF120	81.150.10.63
XRF121	174.37.249.156
XRF122	83.137.45.100
XRF123	95.170.70.159
XRF124	211.14.169.234
XRF125	213.181.208.52
XRF127	pj2man.hopto.org
XRF129	219.116.28.227
XRF130	194.59.177.45
XRF131	80.127.118.226
XRF132	91.203.55.87
XRF133	23.97.163.212
XRF134	159.89.176.86
XRF145	178.59.23.138
XRF146	128.0.239.249
XRF147	46.41.1.127
XRF150	argentina.mmdvm.es
XRF170	210.178.113.173
XRF171	121.162.91.45
XRF177	xlx177.webandcloud.net
XRF180	192.241.240.7
XRF199	153.126.179.214
XRF200	185.203.119.158
XRF202	148.251.122.251
XRF204	185.85.18.162
XRF206	193.190.240.227
XRF208	151.80.155.39
XRF210	64.137.224.107
XRF212	52.38.90.188
XRF214	185.47.129.230
XRF215	185.87.96.172
XRF216	74.214.25.135
XRF220	124.41.83.11
XRF222	xlx222.webandcloud.net
XRF223	208.73.201.157
XRF224	203.137.99.97
XRF226	94.176.6.37
XRF228	188.60.43.206
XRF229	194.191.4.54
XRF230	46.28.105.4
XRF232	83.137.45.106
XRF233	37.187.103.98
XRF235	xlx235.duckdns.org
XRF238	172.104.239.219
XRF241	151.80.158.227
XRF242	184.168.221.22
XRF246	172.93.48.159
XRF248	158.69.206.45
XRF250	88.212.221.81
XRF252	118.21.66.186
XRF255	52.35.115.245
XRF262	88.198.73.251
XRF263	85.214.193.146
XRF264	52.2.131.118
XRF265	51.255.43.60
XRF266	212.237.51.82
XRF268	194.38.140.204
XRF270	158.64.26.132
XRF275	64.137.232.33
XRF277	64.137.185.24
XRF282	210.188.25.17
XRF284	193.93.24.29
XRF290	94.176.6.45
XRF291	60.112.168.104
XRF295	64.137.160.185
XRF298	111.169.17.74
XRF299	125.236.227.43
XRF300	45.62.213.101
XRF302	144.217.241.23
XRF307	72.21.76.154
XRF310	54.201.104.146
XRF311	78.47.206.12
XRF313	34.213.108.164
XRF315	65.101.7.50
XRF317	xrf317.crossroadsdmr.org
XRF321	34.200.191.2
XRF328	212.237.33.114
XRF332	188.213.168.99
XRF333	37.187.103.98
XRF334	96.47.95.121
XRF335	185.206.145.2
XRF336	23.226.233.133
XRF339	198.98.53.247
XRF345	45.62.237.34
XRF350	5.196.3.184
XRF357	52.39.82.54
XRF359	94.156.172.213
XRF360	222.229.25.105
XRF365	59.139.141.204
XRF370	188.213.168.24
XRF371	216.146.38.125
XRF373	101.143.25.116
XRF374	xlxreflectors.moe.hm
XRF376	75.145.119.225
XRF380	160.16.65.39
XRF382	211.131.37.90
XRF387	195.130.59.77
XRF388	138.197.67.52
XRF389	106.70.187.224
XRF390	xrf390.aotnet.it
XRF398	45.62.250.61
XRF400	89.46.67.242
XRF404	91.229.143.187
XRF410	166.78.156.246
XRF412	61.199.25.130
XRF420	51.15.79.58
XRF423	78.47.253.109
XRF431	61.195.98.225
XRF433	217.160.22.17
XRF434	51.254.128.134
XRF440	114.161.161.90
XRF441	203.137.99.110
XRF443	52.31.246.91
XRF444	188.68.37.51
XRF449	159.89.183.117
XRF450	64.137.224.233
XRF454	221.125.255.216
XRF456	54.37.204.187
XRF464	52.192.129.174
XRF470	104.49.29.243
XRF477	139.162.213.89
XRF486	51.255.172.249
XRF490	xrf490.dyndns.org
XRF499	203.137.76.22
XRF500	172.104.32.192
XRF502	190.148.222.28
XRF505	45.248.50.37
XRF508	185.188.4.15
XRF510	91.223.115.32
XRF511	84.52.159.10
XRF515	133.130.114.45
XRF518	176.9.1.168
XRF519	167.114.104.65
XRF520	dstar.thdar.com
XRF521	150.129.184.54
XRF522	14.102.146.160
XRF525	176.65.95.90
XRF538	133.218.172.211
XRF544	210.131.32.240
XRF550	94.177.240.69
XRF554	52.35.183.178
XRF555	54.191.67.121
XRF556	162.244.28.131
XRF567	212.91.156.69
XRF569	203.137.111.98
XRF570	104.128.230.153
XRF583	116.70.242.224
XRF595	175.179.56.111
XRF599	xrf599.n5wls.net
XRF600	13.69.14.204
XRF601	51.141.52.193
XRF602	212.56.100.200
XRF603	216.10.169.35
XRF608	219.122.253.83
XRF610	103.1.213.21
XRF616	xlx616.wmtg.me
XRF626	202.137.244.157
XRF634	61.199.25.130
XRF655	146.64.235.19
XRF666	5.249.151.111
XRF673	180.147.243.178
XRF684	212.237.17.83
XRF689	97.107.128.47
XRF698	85.197.129.86
XRF699	82.102.5.239
XRF700	78.47.222.93
XRF701	61.195.107.77
XRF703	61.195.98.254
XRF706	93.186.255.126
XRF707	162.250.144.132
XRF708	202.218.37.62
XRF709	212.237.34.32
XRF710	oe7mfi.ddns.net
XRF711	212.237.18.27
XRF712	xrf712.ddo.jp
XRF714	85.214.119.76
XRF715	81.169.228.115
XRF716	79.147.230.179
XRF717	44.137.70.100
XRF720	23.237.16.149
XRF722	80.211.2.161
XRF724	66.55.64.14
XRF727	108.33.72.83
XRF730	186.64.123.59
XRF732	190.159.68.105
XRF733	45.56.117.158
XRF735	104.131.81.32
XRF737	195.130.75.246
XRF740	imagewell.duckdns.org
XRF746	178.254.34.44
XRF747	87.147.133.4
XRF748	64.137.197.36
XRF750	119.47.114.165
XRF752	66.154.105.195
XRF755	178.22.148.229
XRF757	107.191.121.105
XRF766	201.62.48.61
XRF767	92.210.130.60
XRF773	94.177.175.230
XRF775	149.202.61.17
XRF776	218.221.163.75
XRF777	112.218.40.91
XRF781	220.145.56.130
XRF787	81.169.145.151
XRF789	45.33.119.142
XRF794	101.143.242.95
XRF801	195.154.33.170
XRF803	77.117.38.125
XRF806	92.105.198.59
XRF807	221.113.166.134
XRF808	18.220.252.27
XRF810	64.137.238.189
XRF812	126.109.77.182
XRF813	97.76.81.165
XRF828	5.1.85.55
XRF844	137.226.79.122
XRF850	88.198.94.77
XRF851	78.47.53.194
XRF858	54.164.121.192
XRF860	45.62.249.215
XRF870	103.3.234.95
XRF878	203.137.123.113
XRF880	176.10.105.211
XRF883	153.185.38.99
XRF886	118.163.103.178
XRF887	118.163.103.177
XRF888	95.239.164.147
XRF893	103.235.127.147
XRF897	92.222.23.124
XRF900	94.177.237.192
XRF901	45.62.254.159
XRF902	104.233.76.150
XRF903	80.211.29.226
XRF905	199.212.121.20
XRF906	185.50.196.134
XRF907	88.11.249.48
XRF908	92.222.23.124
XRF909	216.86.147.198
XRF910	94.177.207.26
XRF911	5.196.73.89
XRF912	80.211.1.143
XRF919	80.211.232.174
XRF920	44.143.184.83
XRF921	44.143.184.83
XRF922	81.150.10.62
XRF925	90.255.232.101
XRF929	158.69.166.132
XRF930	94.177.160.5
XRF931	71.120.181.98
XRF933	164.132.104.167
XRF935	188.213.166.199
XRF940	202.218.37.121
XRF944	202.218.34.210
XRF945	155.94.147.186
XRF950	158.64.26.134
XRF960	80.211.226.89
XRF964	52.173.142.244
XRF967	xlx967.uk.to
XRF972	46.121.158.50
XRF973	153.136.102.253
XRF974	94.177.217.52
XRF975	176.31.161.9
XRF976	212.237.36.71
XRF977	47.88.171.246
XRF978	193.70.0.229
XRF986	81.89.102.160
XRF987	162.252.243.217
XRF988	198.96.90.144
XRF989	50.27.131.75
XRF990	35.164.237.63
XRF991	91.92.136.118
XRF995	158.69.201.255
XRF996	47.104.177.248
XRF997	94.177.187.40
XRF998	44.140.236.20
XRF999	94.177.173.53
XRFWDX	159.89.87.33
